{'name': '松江国际新兴大街5马路53号', 'value': 5159},
{'name': '致和时代广场入口处', 'value': 3787},
{'name': '工业街与开元路交汇处金海汇购物广场1楼东门处', 'value': 2939},
{'name': '友谊东街天怡小区大门东100米路南', 'value': 2817},
{'name': '中山路海亮广场六楼', 'value': 2814},
{'name': '广场南路156号', 'value': 2810},
{'name': '绿林路中段华联对面农行往杨集路50米(百灵药房旁)', 'value': 2804},
{'name': '广场路35号', 'value': 2732},
{'name': '官渡二路石油化工学院斜对面', 'value': 2491},
{'name': '校南街魏都新城新B底商', 'value': 2456},
{'name': '荷香路11号老法院东临30米路北(圣都金茂豪庭南门东临)', 'value': 2344},
{'name': '一实小东路红绿灯北行10米路西', 'value': 2339},
{'name': '步行街内环南路169号（竹蔑行）', 'value': 2309},
{'name': '北京东路融昌大厦与友好商场巷子里往北走到头(友好门迎天下火锅向北斜对面)', 'value': 2284},
{'name': '银雀山路与新华一路交汇百丽广场负一楼通道内', 'value': 2265},
{'name': '新兴北街-兴华路融富花园109号(即坪地宏富百货对面)', 'value': 1984},
{'name': '周庄镇东大街303号', 'value': 1974},
{'name': '龙都街兴华路路口北100米路东', 'value': 1974},
{'name': '国际商贸城新玛特南门西行20米', 'value': 1685},
{'name': '九州购物中心沿街(赵庄)', 'value': 1656},
{'name': '洛阳路18号附近', 'value': 1640},
{'name': '国际商品城美食缤纷城4楼', 'value': 1633},
{'name': '沂蒙北路颐高上海街二期负一层', 'value': 1608},
{'name': '长青巷南段燕山国际D区东门南10米路西(区委墙西)', 'value': 1585},
{'name': '云兴街大同大学南门实验小学对面', 'value': 1549},
{'name': '新城区黄河大道名门世家北门', 'value': 1543},
{'name': '长兴中路城区一中附近，君悦新天地4楼', 'value': 1515},
{'name': '沂河路与胶州路交叉口西行50米路北(八村门口东150米)', 'value': 1414},
{'name': '胜利南街与南环路交叉口西北角恒大影城门口', 'value': 1400},
{'name': '红光镇龙城国际步步高超市一楼内', 'value': 1386},
{'name': '茶亭路31号富丽华对面', 'value': 1345},
{'name': '永扬路大润发马特超市楼下', 'value': 1334},
{'name': '朝阳北大街茂业中心店七楼', 'value': 1302},
{'name': '欧亚路中段金博大广场五楼', 'value': 1301},
{'name': '浚河路华百购物广场一楼', 'value': 1228},
{'name': '旧酱油厂十字路口东行100米路南', 'value': 1225},
{'name': '万达广场金街13-115号门面', 'value': 1204},
{'name': '陈村镇公园南路1号钊林公园侧', 'value': 1178},
{'name': '友谊路启发广场', 'value': 1177},
{'name': '解放中路南北苑中国银行旁边', 'value': 1176},
{'name': '金沙镇新瑞广场二楼', 'value': 1150},
{'name': '政府街国税局东临100米路北', 'value': 1125},
{'name': '太和大道南段财经大厦1楼', 'value': 1119},
{'name': '杭州路金域熙城底商', 'value': 1114},
{'name': '金州南路47号食裳汇5楼', 'value': 1110},
{'name': '绿地世纪城伊顿公馆4-06门面', 'value': 1100},
{'name': '上海路和泰安路交叉口汇金广场', 'value': 1096},
{'name': '永兴路11号', 'value': 1080},
{'name': '东星时代广场西门斜对面(威尼斯酒店往南10米)', 'value': 1065},
{'name': '大润发5楼金滏山对面', 'value': 1064},
{'name': '银丰商场南门西30米路北', 'value': 1038},
{'name': '汉光购物中心西门北临瓦罐香沸', 'value': 1038},
{'name': '振兴路新世纪六楼', 'value': 1027},
{'name': '锦桥路富利来超市北50米', 'value': 1024},
{'name': '黄河路33号荣盛广场5楼美食广场内', 'value': 1016},
{'name': '太行路与鲁班大道交叉口西南角义乌商贸城4楼红亮美食广场', 'value': 996},
{'name': '维三路建院北门对面', 'value': 985},
{'name': '解放路与民族街交口佳泰乐超市北路口', 'value': 982},
{'name': '东兴街商贸钟楼巷十字街街口', 'value': 979},
{'name': '下板城镇板城大街中心广场步行街口', 'value': 974},
{'name': '蟠龙路窑埠古镇紫藤花街2-117号', 'value': 961},
{'name': '西路桥大道308号', 'value': 950},
{'name': '复兴巷学桥街交口', 'value': 949},
{'name': '平西街与科教路交叉口红绿灯向南20米', 'value': 925},
{'name': '祁山路辽河路交叉口北250米路西', 'value': 923},
{'name': '中山东路丰泰金翡丽3楼', 'value': 921},
{'name': '三八路与前进道交叉口北20米路东(田家炳中学斜对面)', 'value': 912},
{'name': '彭祖大道二段伟业广场一楼', 'value': 903},
{'name': '金地国际1栋3楼', 'value': 874},
{'name': '大都会商业街北154号', 'value': 867},
{'name': '广场东园巷路口', 'value': 826},
{'name': '中兴路宏泰购物城1楼13号营业厅', 'value': 821},
{'name': '财源路与浚河路交汇处', 'value': 820},
{'name': '信达美食街115号', 'value': 804},
{'name': '致和时代广场入口处', 'value': 803},
{'name': '鸿发街鸿发美食城门口', 'value': 801},
{'name': '东风路光大广场3楼79号', 'value': 801},
{'name': '华林路锦华广场8号楼西沿街(汇鑫足浴东侧)', 'value': 794},
{'name': '天山南路综合市场', 'value': 792},
{'name': '城关镇荆山西路与八一路交叉口', 'value': 789},
{'name': '长安街91号', 'value': 786},
{'name': '吕梁学院北门四人间楼底柠檬工坊内', 'value': 784},
{'name': '中市中路滨海中学东大门向南20米', 'value': 782},
{'name': '中心广场福润达超市楼下', 'value': 781},
{'name': '秀英街道秀英大道47号秀华城1楼', 'value': 777},
{'name': '北海路4000号银座购物商城2楼', 'value': 767},
{'name': '美林街新洲路金谷大厦旁边', 'value': 767},
{'name': '万山路与汜河路交叉口南50米路东', 'value': 760},
{'name': '东方红大街世纪华夏楼下西侧第一间', 'value': 750},
{'name': '中兴路交警队对面', 'value': 748},
{'name': '城中中路妇幼保健院旁边，宜州宾馆斜对面', 'value': 735},
{'name': '魏武大道中段许昌职业技术学院对面申庄街口路南', 'value': 728},
{'name': '沿河路盛地沃尔玛后步行街一楼', 'value': 726},
{'name': '华英路怡菏园小区门市8号', 'value': 723},
{'name': '文峰路中段城郊一初中大门对面', 'value': 718},
{'name': '六一巷金鹏宾馆对面', 'value': 708},
{'name': '中山西路嘉瑞宝一楼', 'value': 702},
{'name': '朝阳2路和平幼儿园西150米', 'value': 695},
{'name': '振兴北路126号(鲜花朵朵隔壁)', 'value': 692},
{'name': '瓷城大道中央商业广场1003号门面', 'value': 691},
{'name': '温汤路180号', 'value': 683},
{'name': '长安中路184号长安路与健康路交汇处（原长途汽车站）九州大厦长安店一楼电梯下', 'value': 673},
{'name': '黄河路北段星光天地B馆四楼东外围', 'value': 669},
{'name': '新街北门西7号', 'value': 660},
{'name': '秦皇东大街世纪港湾内', 'value': 659},
{'name': '廉江大道中71号', 'value': 654},
{'name': '西藏路第七中学对面', 'value': 649},
{'name': '唐尧北口东100米路南', 'value': 648},
{'name': '曹镇乡曹东街南头中国电信隔壁', 'value': 647},
{'name': '国泰大街东方饭店北行100米路西', 'value': 639},
{'name': '迎宾路天奕商厦对过', 'value': 631},
{'name': '解放大街与长江路交叉口西北角农商银行北侧', 'value': 629},
{'name': '中心岗楼西北角宏基中心广场楼下', 'value': 629},
{'name': '云阳镇南门大街6A-8(双井巷桥向南20米)', 'value': 629},
{'name': '中山街与泾州街交叉口西南40米', 'value': 628},
{'name': '井冈山大道157号附近', 'value': 614},
{'name': '河滨南路苗乡广场皓云网络俱乐部楼下', 'value': 609},
{'name': '达一中旁边', 'value': 589},
{'name': '东源名城与阳光名邸中间路段，广雅云吞旁边，天天惠超市斜对面', 'value': 588},
{'name': '老城镇澄江南路西岸香舍101铺面', 'value': 587},
{'name': '红旗路遥临巷4号门面', 'value': 586},
{'name': '盛庄街道华润书香府沿街4-107号', 'value': 583},
{'name': '太白路中央百货大楼3楼扶梯中间', 'value': 580},
{'name': '白沟服饰广场东门南侧兰天名品城一层', 'value': 580},
{'name': '孝友路3官庙滨河新苑东', 'value': 580},
{'name': '五四路明大购物广场西门入口处', 'value': 576},
{'name': '西岳不夜城A18号商铺', 'value': 576},
{'name': '龙固镇民富路与龙飞大街交叉口北行200米路东', 'value': 572},
{'name': '向阳西街75号民族中学商铺', 'value': 564},
{'name': '临山路274号', 'value': 563},
{'name': '澳玛广场一楼', 'value': 557},
{'name': '解放西路颐和文园小区中街底商162号(颐和国际B座南行100米路东)', 'value': 555},
{'name': '万达金街南首（万达7号门对面）5-128', 'value': 553},
{'name': '居安西路美佳惠超市旁', 'value': 549},
{'name': '万达广场一楼波比公社电梯旁', 'value': 544},
{'name': '甘南路302号(甘南路和平凉路交叉口向西50米)', 'value': 541},
{'name': '爱民西道101号', 'value': 540},
{'name': '张府前巷前塘沿9号', 'value': 533},
{'name': '京华城路18号Rmall三楼', 'value': 530},
{'name': '文化街龙首市场漂亮宝贝斜对面', 'value': 528},
{'name': '万达金街5号门正对面', 'value': 527},
{'name': '泰州南路太平商业中心正1层', 'value': 523},
{'name': '中山大街金桥斜对面', 'value': 519},
{'name': '东江大桥泰华城B区2楼上岛咖啡对面', 'value': 518},
{'name': '和平西街开来欣悦购物广场2层西北角', 'value': 512},
{'name': '大河坎利民中路百捷时尚酒店旁', 'value': 511},
{'name': '胜利街阳光一百城市广场', 'value': 506},
{'name': '博济桥街道清河西路规划局斜对面', 'value': 504},
{'name': '燕山南路天洋广场二楼', 'value': 502},
{'name': '体育场路36号', 'value': 500},
{'name': '解放路南段西二巷6号', 'value': 499},
{'name': '渡江大道中影嘉莱国际影城1楼', 'value': 494},
{'name': '银座二楼', 'value': 488},
{'name': '西华大学西大门百盛后面二楼', 'value': 487},
{'name': '东关大街紫荆花园沿街房', 'value': 484},
{'name': '桃林街与康乐路交叉口西北角', 'value': 483},
{'name': '安德路（第四中学对面丁字路口）天猫批发超市东150米路北', 'value': 481},
{'name': '静海镇新华里小区底商8号', 'value': 480},
{'name': '哈大中路中心大市场北博爱大药房北走100米路西', 'value': 477},
{'name': '建设路小学东20米路北', 'value': 459},
{'name': '荣盛国际购物广场5层', 'value': 458},
{'name': '应昌路西拉沐沦广场东侧', 'value': 448},
{'name': '火炬路与大学道交口东行30米路北', 'value': 446},
{'name': '风采街道复兴路11号', 'value': 441},
{'name': '新街昌顺广场二楼(七彩阳光KTV旁边)', 'value': 439},
{'name': '北门大街50号', 'value': 435},
{'name': '下西街楼梯口签签家对面', 'value': 432},
{'name': '黄海路58号', 'value': 430},
{'name': '万春商业美食街B2-107', 'value': 427},
{'name': '世纪街金湖湾21幢156-158号(工商银行对面)', 'value': 425},
{'name': '成都路东市小吃一条街中段', 'value': 423},
{'name': '四港联动大道锦绣枣园社区北侧A-02号商铺', 'value': 423},
{'name': '乌兰道金三角西门斜对面', 'value': 422},
{'name': '幸福购物广场对面', 'value': 418},
{'name': '天运商城西门闪电网吧对过', 'value': 414},
{'name': '大天路福地广场二楼26号', 'value': 409},
